crop,prev_crop,area,green_index,revenue,expense,price_per_kg,estimated_yield
Eliachi,Cotton,40.42890927492236,1.6341746299673536,88588.3995795416,65715.39545143985,49.55670358020318,2255.129194974415
Tomato,Eliachi,37.08821622712218,1.6597932060981915,37912.72582131716,40208.37714542267,58.44506282592663,4239.196762197011
Potato,Sugarcane,46.34115710685532,0.681734483664184,84737.37167694338,13665.44423533169,53.320642729107405,2216.588958186384
Eliachi,Cotton,22.894877295476505,2.1356917509200564,39885.23136442997,67877.55739320871,97.11653687946594,1645.7158181676564
Rice,Potato,9.483146519092633,2.1987428975085157,81483.21354126248,10354.782845115002,17.068561376326983,4732.540521452881
Gawar,Rice,3.3427421214215096,0.06293998450179994,16284.687667635317,40379.552990090044,33.85149957362135,2269.6095047263025
Potato,Tomato,13.07653361223775,1.1872731111669497,68971.86988038348,24580.800211793478,97.17659033045896,3966.9901222623566
Potato,Tomato,8.016677690131864,2.670421923604863,70942.42725209164,75223.86172400635,50.07722915881261,2162.270901001393
Eliachi,Sugarcane,28.339488330289544,1.5609558247315147,54228.324707286076,60315.73984614047,61.40417069236466,1714.3265259254981
Cotton,Tomato,10.062321523374868,1.0428834043169828,71838.17774764396,47480.67372259402,17.29229898776118,4209.648730261991
Rice,Cotton,2.9077516571791877,0.7610284547853904,93086.53034984569,55081.65805170171,35.56457919661633,1222.3279492129059
Eliachi,Tomato,2.763501614564725,0.7300635597548468,76046.93424714051,44954.54471093679,13.568652879536426,2327.8914281421457
Rice,Sugarcane,41.74690541987822,0.29930410155241904,96516.64260861938,16070.070891455744,22.375435823900936,4120.326670327069
Rice,Tomato,29.981046640708215,2.4516792572792765,50375.10824668646,58182.40099974037,66.99833360093838,3048.550086374222
Gawar,Tomato,18.54617979277553,0.25997221618251365,57546.16585335614,41950.54642021185,78.72602174679379,3758.295270179618
Potato,Gawar,44.8171740942721,0.8768842975854474,33736.48275139362,52573.19534920505,88.3076389209785,1267.2676288887383
Tomato,Cotton,4.439633958977966,0.13702721569905962,98704.15010207816,8390.124798295248,32.63179424916028,3999.2399638624975
Gawar,Potato,49.03578156366347,2.3441597091711013,14962.306164514514,15652.609442243986,39.95774574427529,1687.761622397125
Gawar,None,31.19829772246859,0.11785104668037139,42275.83758551293,49202.78569489928,61.24585396965916,4234.816144591421
Rice,Tomato,9.989748444473575,0.9249033116046252,36792.74482917516,39457.167731221205,17.531727712115075,3256.69888079307
Sugarcane,Eliachi,34.27438584987146,1.719892110259992,44786.05418152499,22015.525171524052,82.60464341700047,3956.6472721730493
Potato,Tomato,38.40568172939457,1.2286840808803314,92594.60744678791,23057.06904001661,53.49628528379371,1851.3307660609728
Cotton,Gawar,22.037796385167947,0.8468132017473013,43123.40866616634,52374.37344169569,96.89567974251746,2581.7020257551344
Gawar,Potato,43.21999770603182,0.8255672172826249,92527.89874300004,9422.527019680547,20.558440812313894,4208.277329820239
Tomato,Eliachi,8.385887957527045,2.393370918018748,48100.49754968824,37569.37581676799,21.996134284770793,4643.217977216094
Sugarcane,Eliachi,14.66304159530281,2.9219342852617354,86929.18922981874,44232.762854495704,41.37195557053643,1906.2887811875407
Sugarcane,Cotton,5.581125717615499,1.0441232113463803,56957.50886506019,28110.695205675056,28.60859794408197,4173.574639879254
Cotton,Sugarcane,11.333014189760256,0.11743654082704957,38021.755908548344,66541.23713692522,72.69311339148317,1434.2207134535272
Gawar,Sugarcane,12.697711783646106,0.10969733372732526,50441.48190710985,9257.71869266326,95.21294118354434,2702.99464608395
Tomato,Potato,45.964026355163796,2.277640245632154,48194.29710803831,69933.70889352131,18.09140589596053,4754.878666053622
